,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
375,HD 224985,,HD 224985,,,,,,,0.57122013026,-0.36007023898,35.445,-40.733,4.018,262.15,pc,PM*,G8/K0,,10.50622,11.5,10.8
376,HD 224944,,HD 224944,,,,,,,0.51525164093,-1.55251813311,114.333,-55.843,10.0178,99.822,pc,PM*,G8V,,10.203774,11.13,10.32
377,HD 224986,,HD 224986,,,,,,,0.5717014556,-2.13914582174,46.345,-44.209,9.5539,104.266,pc,PM*,F8V,,9.488021,10.2,9.71
378,HD 224958,,HD 224958,,,,,,,0.52698829468,0.41534212846,45.43,2.008,7.596,131.648,pc,*,F3V,,9.04455,9.55,9.12
379,HD 224971,,HD 224971,,,,,,,0.546571103,0.47327951455,30.347,8.352,4.2759,233.869,pc,SB*,F3/5V,,10.109268,10.7,10.29
380,HD 224983,,HD 224983,HIP 184,,,,,,0.58976198687,11.00623756195,-4.919,-42.738,29.589,33.796,pc,*,K0,,8.250363,9.33,8.47
381,HD 224984,,HD 224984,HIP 185,,,,,,0.59003849821,10.78536381865,-49.31,-115.575,10.0796,99.21,pc,PM*,F8,,8.41476,9.05,8.5
382,BD+26  4735,,,HIP 162,,,,,,0.51335263623,27.11860418319,-5.017,-7.974,3.0747,325.235,pc,*,G0,,9.674858,10.48,9.8
383,*  85 Peg,,HD 224930,HIP 171,HR 9088,,,,,0.5431196641087,27.0818330838094,716.46,-941.497,81.179,12.3185,pc,SB*,G5VbFe-2,5.16,5.595876,6.42,5.75
384,BD+32  4753,,,HIP 161,,,,,,0.51240767307,33.69596105295,-24.907,-12.145,1.3736,728.014,pc,*,K5,,8.472102,10.41,8.93
385,HD 224982,,HD 224982,,,,,,,0.59026533584,34.84017664067,-44.172,-15.363,3.6907,270.951,pc,*,K0,,7.6328,8.96,7.93
386,HD 224957,,HD 224957,HIP 167,,,,,,0.52782596697,39.18320549121,5.982,-3.322,3.2766,305.194,pc,*,B9,,8.569393,8.64,8.57
387,HD 224956,,HD 224956,,,,,,,0.5387489586,42.12119154402,4.053,-3.3,2.668,374.813,pc,*,A0,,9.163283,9.19,9.16
388,HD 224942,,HD 224942,,,,,,,0.51419220399,40.13255715414,48.894,18.022,6.9451,143.986,pc,PM*,F2,,8.974296,9.53,9.09
389,HD 224955,,HD 224955,,,,,,,0.53045552993,44.53221969714,26.986,-7.774,2.2491,444.622,pc,*,K2,,6.693346,9.21,7.55
390,HD 224970,,HD 224970,HIP 176,,,,,,0.55339975627,44.42825971133,19.073,-6.714,3.7886,263.95,pc,SB*,K0,,8.70976,9.38,8.84
391,HD 224966,,HD 224966,,,,,,,0.55309888135,-79.28364358599,50.8,-3.468,5.056,196.519,pc,PM*,F6/7IV/V,,9.889539,10.594,10.154
392,HD 224967,,HD 224967,,,,,,,0.50378313294,-81.28323091037,6.761,5.127,3.7309,262.213,pc,*,A9V,,9.958479,10.39,10.04
393,HD 224979,,HD 224979,,,,,,,0.56610901799,-72.6293923471,27.786,21.522,3.8715,248.584,pc,*,F3IV/V,,9.81924,10.28,9.88
394,HD 224978,,HD 224978,,,,,,,0.54967025011,-67.52536079959,21.03,-10.442,2.9987,325.697,pc,*,K0/1(III),,9.320396,10.513,9.722
395,HD 224953,,HD 224953,HIP 169,,,,,,0.53640043,-68.28076443,209.95,-229.66,65.24,15.33,pc,**,K5/M0V,8.372,,10.646,9.241
396,HD 224954,,HD 224954,HIP 160,,,,,,0.5117914233,-69.26919720112,15.009,4.699,2.3849,419.305,pc,*,B9V,,8.668863,8.62,8.66
397,HD 224953B,,HD 224953B,,,,,,,0.5389671913667,-68.2814754505953,199.019,-239.255,58.9753,16.9563,pc,PM*,,,10.076243,12.01,10.56
398,HD 224952,,HD 224952,,,,,,,0.50228759363,-64.84347516725,44.851,0.015,3.1047,319.548,pc,*,K1III,,8.945062,10.476,9.603
399,HD 224965,,HD 224965,HIP 166,,,,,,0.5213170622,-56.51492944516,-47.594,-11.492,9.2855,107.695,pc,*,G3V,,8.704645,9.52,8.86
